Date,25yr,15yr
11/21/2013,3.778,3.431
11/20/2013,3.798,3.443
11/19/2013,3.701,3.346
11/18/2013,3.665,3.309
11/15/2013,3.698,3.337
11/14/2013,3.699,3.335
11/13/2013,3.729,3.374
11/12/2013,3.755,3.403
11/11/2013,3.740,3.381
11/08/2013,3.740,3.381
11/07/2013,3.630,3.253
11/06/2013,3.671,3.290
11/05/2013,3.659,3.299
11/04/2013,3.592,3.230
11/01/2013,3.597,3.244
10/31/2013,3.537,3.174
10/30/2013,3.540,3.164
10/29/2013,3.530,3.145
10/28/2013,3.516,3.147
10/25/2013,3.503,3.134
10/24/2013,3.523,3.149
10/23/2013,3.494,3.123
10/22/2013,3.520,3.153
10/21/2013,3.590,3.235
10/18/2013,3.564,3.206
10/17/2013,3.566,3.204
10/16/2013,3.633,3.280
10/15/2013,3.684,3.332
10/14/2013,3.641,3.288
10/11/2013,3.641,3.288
10/10/2013,3.650,3.294
10/09/2013,3.632,3.265
10/08/2013,3.606,3.244
10/07/2013,3.613,3.247
10/04/2013,3.639,3.267
10/03/2013,3.618,3.237
10/02/2013,3.621,3.245
10/01/2013,3.633,3.262
09/30/2013,3.604,3.240
09/27/2013,3.593,3.230
09/26/2013,3.604,3.249
09/25/2013,3.564,3.217
09/24/2013,3.586,3.252
09/23/2013,3.657,3.322
09/20/2013,3.671,3.336
09/19/2013,3.716,3.365
09/18/2013,3.666,3.310
09/17/2013,3.756,3.424
09/16/2013,3.790,3.454
09/13/2013,3.766,3.452
09/12/2013,3.765,3.460
09/11/2013,3.780,3.479
09/10/2013,3.808,3.514
09/09/2013,3.756,3.460
09/06/2013,3.790,3.495
09/05/2013,3.798,3.519
09/04/2013,3.716,3.443
09/03/2013,3.698,3.416
09/02/2013,3.594,3.308
08/30/2013,3.594,3.308
08/29/2013,3.622,3.317
08/28/2013,3.671,3.361
08/27/2013,3.618,3.310
08/26/2013,3.702,3.393
08/23/2013,3.716,3.401
08/22/2013,3.801,3.483
08/21/2013,3.798,3.471
08/20/2013,3.765,3.436
08/19/2013,3.817,3.500
08/16/2013,3.773,3.454
08/15/2013,3.712,3.384
08/14/2013,3.669,3.345
08/13/2013,3.672,3.349
08/12/2013,3.580,3.250
08/09/2013,3.552,3.226
08/08/2013,3.556,3.234
08/07/2013,3.570,3.257
08/06/2013,3.620,3.308
08/05/2013,3.620,3.305
08/02/2013,3.579,3.267
08/01/2013,3.660,3.370
07/31/2013,3.533,3.236
07/30/2013,3.559,3.248
07/29/2013,3.548,3.233
07/26/2013,3.509,3.194
07/25/2013,3.555,3.238
07/24/2013,3.541,3.231
07/23/2013,3.483,3.168
07/22/2013,3.448,3.140
07/19/2013,3.460,3.136
07/18/2013,3.528,3.195
07/17/2013,3.466,3.146
07/16/2013,3.481,3.170
07/15/2013,3.504,3.192
07/12/2013,3.539,3.233
07/11/2013,3.520,3.212
07/10/2013,3.585,3.300
07/09/2013,3.548,3.257
07/08/2013,3.534,3.252
07/05/2013,3.574,3.306
07/04/2013,3.398,3.122
07/03/2013,3.397,3.121
07/02/2013,3.366,3.090
07/01/2013,3.385,3.101
06/28/2013,3.395,3.097
06/27/2013,3.434,3.106
06/26/2013,3.469,3.149
06/25/2013,3.512,3.200
06/24/2013,3.455,3.155
06/21/2013,3.463,3.142
06/20/2013,3.413,3.075
06/19/2013,3.309,2.959
06/18/2013,3.234,2.862
06/17/2013,3.243,2.865
06/14/2013,3.190,2.810
06/13/2013,3.225,2.847
06/12/2013,3.279,2.906
06/11/2013,3.234,2.870
06/10/2013,3.267,2.893
06/07/2013,3.220,2.842
06/06/2013,3.131,2.754
06/05/2013,3.155,2.783
06/04/2013,3.196,2.819
06/03/2013,3.162,2.780
05/31/2013,3.191,2.818
05/30/2013,3.175,2.789
05/29/2013,3.159,2.778
05/28/2013,3.173,2.801
05/27/2013,3.062,2.672
05/24/2013,3.062,2.672
05/23/2013,3.083,2.692
05/22/2013,3.093,2.702
05/21/2013,3.035,2.626
05/20/2013,3.060,2.648
05/17/2013,3.050,2.632
05/16/2013,2.973,2.541
05/15/2013,3.041,2.616
05/14/2013,3.048,2.623
05/13/2013,3.013,2.586
05/10/2013,2.989,2.563
05/09/2013,2.905,2.472
05/08/2013,2.883,2.457
05/07/2013,2.909,2.486
05/06/2013,2.892,2.470
05/03/2013,2.865,2.434
05/02/2013,2.737,2.304
05/01/2013,2.749,2.308
04/30/2013,2.793,2.354
04/29/2013,2.780,2.340
04/26/2013,2.760,2.320
04/25/2013,2.810,2.375
04/24/2013,2.791,2.359
04/23/2013,2.795,2.362
04/22/2013,2.787,2.358
04/19/2013,2.789,2.361
04/18/2013,2.774,2.341
04/17/2013,2.796,2.366
04/16/2013,2.813,2.387
04/15/2013,2.790,2.364
04/12/2013,2.827,2.391
04/11/2013,2.903,2.466
04/10/2013,2.913,2.484
04/09/2013,2.841,2.420
04/08/2013,2.815,2.399
04/05/2013,2.775,2.358
04/04/2013,2.890,2.456
04/03/2013,2.961,2.522
04/02/2013,3.006,2.567
04/01/2013,2.990,2.543
03/29/2013,3.018,2.566
03/28/2013,3.017,2.564
03/27/2013,2.997,2.558
03/26/2013,3.028,2.607
03/25/2013,3.041,2.620
03/22/2013,3.032,2.611
03/21/2013,3.050,2.626
03/20/2013,3.071,2.639
03/19/2013,3.029,2.607
03/18/2013,3.082,2.662
03/15/2013,3.122,2.713
03/14/2013,3.143,2.744
03/13/2013,3.113,2.727
03/12/2013,3.111,2.725
03/11/2013,3.148,2.762
03/08/2013,3.148,2.757
03/07/2013,3.094,2.698
03/06/2013,3.047,2.647
03/05/2013,3.001,2.597
03/04/2013,2.984,2.577
03/01/2013,2.960,2.552
02/28/2013,2.987,2.584
02/27/2013,2.996,2.591
02/26/2013,2.965,2.560
02/25/2013,2.981,2.583
02/22/2013,3.043,2.657
02/21/2013,3.053,2.663
02/20/2013,3.092,2.708
02/19/2013,3.090,2.709
02/18/2013,3.064,2.685
02/15/2013,3.064,2.685
02/14/2013,3.049,2.681
02/13/2013,3.095,2.731
02/12/2013,3.067,2.693
02/11/2013,3.027,2.653
02/08/2013,3.045,2.667
02/07/2013,3.036,2.659
02/06/2013,3.054,2.673
02/05/2013,3.088,2.718
02/04/2013,3.047,2.672
02/01/2013,3.076,2.711
01/31/2013,3.035,2.668
01/30/2013,3.062,2.694
01/29/2013,3.033,2.669
01/28/2013,3.015,2.655
01/25/2013,3.002,2.629
01/24/2013,2.910,2.522
01/23/2013,2.900,2.513
01/22/2013,2.894,2.513
01/21/2013,2.905,2.523
01/18/2013,2.905,2.523
01/17/2013,2.939,2.557
01/16/2013,2.891,2.505
01/15/2013,2.889,2.509
01/14/2013,2.914,2.537
01/11/2013,2.925,2.549
01/10/2013,2.950,2.575
01/09/2013,2.923,2.536
01/08/2013,2.940,2.553
01/07/2013,2.964,2.582
01/04/2013,2.977,2.593
01/03/2013,2.973,2.579
01/02/2013,2.912,2.523
01/01/2013,2.798,2.413
12/31/2012,2.799,2.414
12/28/2012,2.752,2.362
12/27/2012,2.755,2.364
12/26/2012,2.802,2.412
12/25/2012,2.804,2.423
12/24/2012,2.804,2.423
12/21/2012,2.790,2.405
12/20/2012,2.850,2.462
12/19/2012,2.849,2.460
12/18/2012,2.881,2.495
12/17/2012,2.799,2.417
12/14/2012,2.742,2.356
12/13/2012,2.771,2.385
12/12/2012,2.768,2.372
12/11/2012,2.710,2.314
12/10/2012,2.677,2.274
12/07/2012,2.687,2.283
12/06/2012,2.643,2.227
12/05/2012,2.654,2.240
12/04/2012,2.657,2.247
12/03/2012,2.684,2.269
11/30/2012,2.674,2.249
11/29/2012,2.678,2.255
11/28/2012,2.660,2.247
11/27/2012,2.670,2.272
11/26/2012,2.678,2.287
11/23/2012,2.711,2.321
11/22/2012,2.707,2.316
11/21/2012,2.707,2.316
11/20/2012,2.687,2.291
11/19/2012,2.644,2.237
11/16/2012,2.604,2.193
11/15/2012,2.606,2.198
11/14/2012,2.608,2.198
11/13/2012,2.603,2.196
11/12/2012,2.632,2.222
11/09/2012,2.632,2.222
11/08/2012,2.652,2.244
11/07/2012,2.704,2.294
11/06/2012,2.799,2.407
11/05/2012,2.752,2.352
11/02/2012,2.799,2.401
11/01/2012,2.778,2.388
10/31/2012,2.731,2.345
10/30/2012,2.765,2.376
10/29/2012,2.765,2.376
10/26/2012,2.800,2.418
10/25/2012,2.861,2.490
10/24/2012,2.809,2.443
10/23/2012,2.791,2.427
10/22/2012,2.824,2.466
10/19/2012,2.818,2.440
10/18/2012,2.888,2.505
10/17/2012,2.867,2.488
10/16/2012,2.797,2.400
10/15/2012,2.727,2.328
10/12/2012,2.715,2.319
10/11/2012,2.735,2.338
10/10/2012,2.772,2.370
10/09/2012,2.812,2.411
10/08/2012,2.843,2.435
10/05/2012,2.845,2.438
10/04/2012,2.766,2.360
10/03/2012,2.709,2.311
10/02/2012,2.689,2.296
10/01/2012,2.705,2.310
09/28/2012,2.716,2.325
09/27/2012,2.711,2.318
09/26/2012,2.679,2.297
09/25/2012,2.751,2.380
09/24/2012,2.791,2.422
09/21/2012,2.837,2.463
09/20/2012,2.836,2.472
09/19/2012,2.856,2.484
09/18/2012,2.893,2.511
09/17/2012,2.910,2.535
09/14/2012,2.964,2.574
09/13/2012,2.841,2.441
09/12/2012,2.806,2.420
09/11/2012,2.727,2.347
09/10/2012,2.725,2.342
09/07/2012,2.711,2.322
09/06/2012,2.683,2.311
09/05/2012,2.592,2.230
09/04/2012,2.574,2.212
09/03/2012,2.572,2.196
08/31/2012,2.573,2.199
08/30/2012,2.626,2.242
08/29/2012,2.657,2.281
08/28/2012,2.635,2.267
08/27/2012,2.646,2.283
08/24/2012,2.679,2.314
08/23/2012,2.671,2.307
08/22/2012,2.715,2.361
08/21/2012,2.795,2.441
08/20/2012,2.810,2.456
08/17/2012,2.816,2.465
08/16/2012,2.839,2.480
08/15/2012,2.796,2.445
08/14/2012,2.713,2.362
08/13/2012,2.628,2.280
08/10/2012,2.624,2.278
08/09/2012,2.654,2.311
